State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Area_safe,Yield,Production_imputed,Production_was_imputed,Production_filled,Yield_filled,area_outlier,yield_outlier,Year,Crop_top,District_top,State_top,Season_top
Tamil Nadu,ARIYALUR,2008,Kharif,Rice,24574,,24574,,86106.70013461068,True,86106.70013461068,3.503975752201949,True,False,2008.0,Rice,ARIYALUR,Tamil Nadu,Kharif
Tamil Nadu,ARIYALUR,2008,Whole Year,Arhar/Tur,209,,209,,152.75135634150567,True,152.75135634150567,0.7308677336914147,False,False,2008.0,Arhar/Tur,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Bajra,565,,565,,897.7979898913749,True,897.7979898913749,1.5890229909581857,False,False,2008.0,Bajra,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Banana,190,,190,,8070.654468684025,True,8070.654468684025,42.4771287825475,False,True,2008.0,Banana,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Cashewnut,31113,,31113,,11205.448275862069,True,11205.448275862069,0.36015325670498083,True,False,2008.0,Cashewnut,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Castor seed,27,,27,,9.0,True,9.0,0.3333333333333333,False,False,2008.0,Castor seed,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Coconut,335,,335,,3439.9909243995485,True,3439.9909243995485,10.26862962507328,False,False,2008.0,Coconut,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Coriander,460,,460,,153.33333333333331,True,153.33333333333331,0.3333333333333333,False,False,2008.0,Coriander,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Cotton(lint),3566,,3566,,7390.731861198738,True,7390.731861198738,2.0725552050473186,False,False,2008.0,Cotton(lint),ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Dry chillies,1774,,1774,,1064.3999999999999,True,1064.3999999999999,0.6,False,False,2008.0,Dry chillies,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Groundnut,14528,,14528,,25858.81049258196,True,25858.81049258196,1.779929136328604,True,False,2008.0,Groundnut,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Jowar,6674,,6674,,6734.404131824888,True,6734.404131824888,1.0090506640432857,False,False,2008.0,Jowar,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Maize,9797,,9797,,41617.13712954643,True,41617.13712954643,4.247947037822438,False,False,2008.0,Maize,ARIYALUR,Tamil Nadu,Whole Year
Tamil Nadu,ARIYALUR,2008,Whole Year,Moong(Green Gram),39,,39,,16.54285714285714,True,16.54285714285714,0.4241758241758241,False,False,2008.0,Moong(Green Gram),ARIYALUR,Tamil Nadu,Whole Year
